Date,Open,High,Low,Close,Adj Close,Volume,trading_time,score
2014-01-28,18.17,18.392857,17.93107,18.089287,16.087397,1065523200.0,2014-01-28 09:30:00+00:00,0.0392780219780219
2014-01-29,17.998215,18.120358,17.807858,17.883928,15.904763,502810000.0,2014-01-29 09:30:00+00:00,0.0265395604395604
2014-01-30,17.947857,18.089287,17.739286,17.849285,15.87396,678501600.0,2014-01-30 09:30:00+00:00,0.0296518518518518
2014-01-31,17.684999,17.911785,17.626785,17.878571,15.900002,464797200.0,2014-01-31 09:30:00+00:00,0.2138166666666666
2014-02-03,17.950357,18.133215,17.832144,17.911785,15.929543,401464000.0,2014-02-03 09:30:00+00:00,-0.0286568181818181
2014-02-04,18.066071,18.195,17.955713,18.17107,16.160128,376681200.0,2014-02-04 09:30:00+00:00,0.1052821428571428
2014-02-05,18.091429,18.402857,18.080357,18.306786,16.280825,328344800.0,2014-02-05 09:30:00+00:00,-0.0543882352941176
2014-02-06,18.216429,18.339287,18.13607,18.303928,16.375721,257765200.0,2014-02-06 09:30:00+00:00,-0.0526357142857142
2014-02-07,18.620714,18.676071,18.477858,18.559999,16.604816,370280400.0,2014-02-07 09:30:00+00:00,0.0642416666666666
2014-02-10,18.523571,18.999643,18.5,18.8925,16.902294,345559200.0,2014-02-10 09:30:00+00:00,0.0603767857142857
2014-02-11,18.950357,19.205357,18.910713,19.14143,17.124998,282256800.0,2014-02-11 09:30:00+00:00,0.0413315789473684
2014-02-12,19.176786,19.27,19.044287,19.139999,17.123722,308100800.0,2014-02-12 09:30:00+00:00,-0.12443
2014-02-13,19.094999,19.458929,19.078571,19.44393,17.395634,307398000.0,2014-02-13 09:30:00+00:00,-0.0691538461538461
2014-02-14,19.373928,19.499287,19.32893,19.428213,17.381573,272924400.0,2014-02-14 09:30:00+00:00,0.0241630434782608
2014-02-18,19.5,19.685356,19.486071,19.499643,17.445478,260251600.0,2014-02-18 09:30:00+00:00,-0.0620749999999999
2014-02-19,19.455357,19.531786,19.083929,19.191786,17.17005,313768000.0,2014-02-19 09:30:00+00:00,0.2404611111111111
2014-02-20,19.035357,19.178572,18.892857,18.969643,16.971313,305858000.0,2014-02-20 09:30:00+00:00,0.0158954545454545
2014-02-21,19.028214,19.091785,18.735714,18.758928,16.782791,278784800.0,2014-02-21 09:30:00+00:00,0.141336
2014-02-24,18.683929,18.925714,18.657858,18.84107,16.856277,288909600.0,2014-02-24 09:30:00+00:00,0.0802783783783784
2014-02-25,18.906429,18.913214,18.607143,18.645,16.680864,231952000.0,2014-02-25 09:30:00+00:00,0.01449
2014-02-26,18.700357,18.75,18.414286,18.476786,16.530373,276217200.0,2014-02-26 09:30:00+00:00,0.1422
