Date,trading_time,score
2014-05-26,2014-05-26 09:30:00+00:00,0.0027055555555555565
2014-05-27,2014-05-27 09:30:00+00:00,0.17817272727272726
2014-05-28,2014-05-28 09:30:00+00:00,0.174225
2014-05-29,2014-05-29 09:30:00+00:00,-0.03225208333333334
2014-05-30,2014-05-30 09:30:00+00:00,0.07555753424657537
2014-06-02,2014-06-02 09:30:00+00:00,0.02905416666666666
2014-06-03,2014-06-03 09:30:00+00:00,0.0462264423076923
2014-06-04,2014-06-04 09:30:00+00:00,0.12195742574257426
2014-06-05,2014-06-05 09:30:00+00:00,-0.1095
2014-06-06,2014-06-06 09:30:00+00:00,0.10139999999999999
2014-06-09,2014-06-09 09:30:00+00:00,0.020706060606060592
2014-06-11,2014-06-11 09:30:00+00:00,0.021028124999999998
2014-06-12,2014-06-12 09:30:00+00:00,-0.032517021276595746
2014-06-13,2014-06-13 09:30:00+00:00,0.06949999999999999
2014-06-16,2014-06-16 09:30:00+00:00,0.06353636363636363
2014-06-19,2014-06-19 09:30:00+00:00,0.02691860465116279
2014-06-20,2014-06-20 09:30:00+00:00,-0.017611111111111116
2014-06-23,2014-06-23 09:30:00+00:00,0.017112244897959185
2014-06-24,2014-06-24 09:30:00+00:00,-0.008353846153846153
2014-06-25,2014-06-25 09:30:00+00:00,-0.0212
2014-06-26,2014-06-26 09:30:00+00:00,0.09574374999999999
2014-06-27,2014-06-27 09:30:00+00:00,-0.057647368421052614
2014-06-30,2014-06-30 09:30:00+00:00,-0.07848260869565217
2014-07-01,2014-07-01 09:30:00+00:00,0.07052307692307691
2014-07-02,2014-07-02 09:30:00+00:00,-0.050254545454545434
2014-07-03,2014-07-03 09:30:00+00:00,0.22135000000000002
2014-07-04,2014-07-04 09:30:00+00:00,-0.2931833333333333
2014-07-07,2014-07-07 09:30:00+00:00,0.0717653846153846
2014-07-08,2014-07-08 09:30:00+00:00,0.3082875
2014-07-09,2014-07-09 09:30:00+00:00,-0.13696000000000003
2014-07-10,2014-07-10 09:30:00+00:00,-0.060646153846153864
2014-07-11,2014-07-11 09:30:00+00:00,0.10857142857142858
2014-07-14,2014-07-14 09:30:00+00:00,-0.057487096774193565
2014-07-15,2014-07-15 09:30:00+00:00,-0.06557826086956521
